state,elec_access_pct,n_lgas,year
Abia,87.1,16,2018
Adamawa,43.5,16,2018
Akwa Ibom,72.6,24,2018
Anambra,82.4,19,2018
Bauchi,31.1,18,2018
Bayelsa,41.6,8,2018
Benue,33.5,18,2018
Borno,16.6,14,2018
Cross River,43,14,2018
Delta,60.4,24,2018
Ebonyi,28.6,12,2018
Edo,61.3,16,2018
Ekiti,67.2,15,2018
Enugu,59.7,16,2018
FCT,60.5,6,2018
Gombe,30.7,10,2018
Imo,53.8,23,2018
Jigawa,24.9,22,2018
Kaduna,61.6,21,2018
Kano,48.8,32,2018
Katsina,39.3,27,2018
Kebbi,34.4,18,2018
Kogi,55.2,16,2018
Kwara,76.1,15,2018
Lagos,98.6,19,2018
Nasarawa,40,13,2018
Niger,52.8,20,2018
Ogun,90.3,17,2018
Ondo,43.9,15,2018
Osun,78.1,21,2018
Oyo,69,22,2018
Plateau,25.9,13,2018
Rivers,76.2,19,2018
Sokoto,32.4,18,2018
Taraba,25.3,15,2018
Yobe,22.9,12,2018
Zamfara,31.7,12,2018
