Year,flare_vol_mcm_total,flare_vol_mcm_onshore,flare_vol_mcm_offshore,offshore_share_pct
2012,9622.37337256,5148.066452159,4474.306920401,46.5
2013,9340.901722624,4742.674130787,4598.227591837,49.2
2014,8418.663477502001,4261.616348775,4157.047128727,49.4
2015,7657.922376308999,4200.9315473219995,3456.990828987,45.1
2016,7072.805863541001,3804.500898322,3268.304965219,46.2
2017,7646.269381485,3877.677945643,3768.591435842,49.3
2018,7538.87579164,4411.20113163,3127.67466001,41.5
2019,7759.662731716,4409.821387617,3349.8413440990003,43.2
2020,7194.656336438,4643.675664297,2550.980672141,35.5
2021,6626.85097,4141.841038,2483.36074,37.5
2022,5318.367627,3068.671265,2249.696362,42.3
2023,5786.463504,3322.20441,2464.259094,42.6
2024,6479.5599999999995,4082.8199999999997,2396.74,37
