state,Year,n_sites,flare_vol_mcm,n_offshore_sites,n_onshore_sites
Abia,2012,1,37.7381053,0,1
Abia,2013,1,37.63844429,0,1
Abia,2014,1,31.5603056,0,1
Abia,2015,1,20.29586118,0,1
Abia,2016,1,18.17426219,0,1
Abia,2017,1,12.67080951,0,1
Abia,2018,1,8.097054403,0,1
Abia,2019,1,12.90070221,0,1
Abia,2020,1,14.29790501,0,1
Abia,2021,1,24.42742,0,1
Abia,2022,1,8.198733,0,1
Abia,2023,2,49.392059,0,2
Abia,2024,3,81.44,0,3
Akwa Ibom,2012,3,135.116739148,0,3
Akwa Ibom,2013,3,175.942079388,0,3
Akwa Ibom,2014,3,163.8634015,0,3
Akwa Ibom,2015,3,166.534124392,0,3
Akwa Ibom,2016,3,154.584756579,0,3
Akwa Ibom,2017,4,162.613823585,1,3
Akwa Ibom,2018,2,126.86950727,0,2
Akwa Ibom,2019,2,109.58678373,0,2
Akwa Ibom,2020,3,94.213061919,0,3
Akwa Ibom,2021,3,96.873471,0,3
Akwa Ibom,2022,2,30.756279,0,2
Akwa Ibom,2023,4,134.161409,1,3
Akwa Ibom,2024,5,208.9,1,4
Anambra,2012,1,7.406676142,0,1
Anambra,2013,1,15.10810638,0,1
Anambra,2014,1,14.14547565,0,1
Anambra,2015,1,15.24843026,0,1
Anambra,2021,1,2.700957,0,1
Bayelsa,2012,28,1156.876360113,2,26
Bayelsa,2013,28,959.200281633,2,26
Bayelsa,2014,28,981.383719415,2,26
Bayelsa,2015,28,820.961893457,2,26
Bayelsa,2016,23,899.092634234,2,21
Bayelsa,2017,24,843.303805763,2,22
Bayelsa,2018,26,757.007403614,2,24
Bayelsa,2019,26,722.992187292,2,24
Bayelsa,2020,27,805.293185399,2,25
Bayelsa,2021,26,676.555302,2,24
Bayelsa,2022,28,396.369367,2,26
Bayelsa,2023,24,379.619867,2,22
Bayelsa,2024,24,479.44,2,22
Delta,2012,40,1503.095005464,3,37
Delta,2013,40,1560.380513973,3,37
Delta,2014,40,1322.861479545,3,37
Delta,2015,40,1494.126846144,3,37
Delta,2016,36,1116.308735513,3,33
Delta,2017,45,1412.168004409,3,42
Delta,2018,46,1935.488930768,3,43
Delta,2019,48,1937.948753034,3,45
Delta,2020,53,1952.156802819,4,49
Delta,2021,45,1644.62768,4,41
Delta,2022,39,1358.138041,3,36
Delta,2023,42,1466.046544,3,39
Delta,2024,49,1422.86,4,45
Edo,2012,5,394.36423541,0,5
Edo,2013,5,435.81827692,0,5
Edo,2014,5,364.85954901,0,5
Edo,2015,5,424.8755868,0,5
Edo,2016,5,214.28209546,0,5
Edo,2017,6,235.361127661,0,6
Edo,2018,7,402.555671792,0,7
Edo,2019,6,438.90190666,0,6
Edo,2020,7,386.399252158,0,7
Edo,2021,7,351.164851,0,7
Edo,2022,6,311.008801,0,6
Edo,2023,5,306.79409300000003,0,5
Edo,2024,6,349.39,0,6
Imo,2012,5,422.897034722,0,5
Imo,2013,5,326.435172731,0,5
Imo,2014,5,179.804756763,0,5
Imo,2015,5,167.124652836,0,5
Imo,2016,5,198.939009407,0,5
Imo,2017,6,157.980121743,0,6
Imo,2018,6,148.509774613,0,6
Imo,2019,7,174.140820079,0,7
Imo,2020,7,257.76853266,0,7
Imo,2021,6,225.94689,0,6
Imo,2022,6,133.698277,0,6
Imo,2023,8,165.650799,0,8
Imo,2024,9,329.69,0,9
Lagos,2012,1,5.908360097,0,1
Lagos,2013,1,1.56626297,0,1
Lagos,2014,1,0,0,1
Lagos,2015,1,0,0,1
Lagos,2020,1,6.256944186,0,1
Lagos,2021,1,16.920449,0,1
Ondo,2012,1,75.31178472,0,1
Ondo,2013,1,65.68636468,0,1
Ondo,2014,1,60.99874845,0,1
Ondo,2015,1,0.561907701,0,1
Ondo,2019,1,10.89982561,0,1
Ondo,2020,1,0,0,1
Rivers,2012,30,1409.352151043,4,26
Rivers,2013,30,1164.898627822,4,26
Rivers,2014,30,1142.138912842,4,26
Rivers,2015,30,1091.202244552,4,26
Rivers,2016,30,1203.119404939,6,24
Rivers,2017,40,1053.580252972,5,35
Rivers,2018,30,1032.67278917,5,25
Rivers,2019,31,1002.450409002,3,28
Rivers,2020,34,1127.289980146,3,31
Rivers,2021,35,1102.624018,3,32
Rivers,2022,30,830.501767,3,27
Rivers,2023,31,820.539639,3,28
Rivers,2024,33,1211.1,3,30
