Year,moran_I,p_value
2012,0.5925321031827692,2.384731389141255e-11
2013,0.5689050193052949,4.135606093816737e-11
2014,0.5867710773316863,2.3830422552472317e-11
2015,0.5306873747149302,2.776014773576978e-10
2016,0.5690134335717396,6.705253554719192e-11
2017,0.5305451363876575,2.567241587987037e-10
2018,0.43662237717283225,2.965412886487995e-9
2019,0.43095228270474895,3.1771614508770553e-9
2020,0.4527866540986073,2.5519308621196305e-9
2021,0.46100157541786163,4.466191920382311e-9
2022,0.38538253160416525,1.235867032455319e-7
2023,0.3736058281527087,9.85327177048006e-8
2024,0.4496694327080589,2.7368958958433435e-8
