year,co2,co2_per_capita,population,coal_co2,oil_co2,gas_co2,flaring_co2,energy_per_capita,gdp,flare_vol_mcm_total,flare_vol_mcm_onshore,flare_vol_mcm_offshore,offshore_share_pct,policy_index
1995,84.23,0.76,110819430,0.051,22.239,10.066,50.927,2088.36,140919776986,NA,NA,NA,NA,0
1996,97.767,0.859,113754783,0.022,25.531,10.201,61.101,2086.673,185730236700,NA,NA,NA,NA,0
1997,95.649,0.819,116754790,0.026,29.294,10.666,54.773,2034.072,200850397618,NA,NA,NA,NA,0
1998,86.338,0.72,119846261,0.033,25.589,11.029,48.747,1893.687,218416200673,NA,NA,NA,NA,0
1999,84.838,0.689,123047324,0.044,26.923,11.608,45.405,1845.027,59145077039,NA,NA,NA,NA,0
2000,96.831,0.766,126382490,0.158,31.54,13.179,51.11,1704.075,69171451627,NA,NA,NA,NA,0
2001,100.218,0.772,129862594,0.154,37.204,11.608,50.407,1880.878,73557840064,NA,NA,NA,NA,0
2002,89.906,0.674,133471995,0.136,37.573,11.889,39.501,1880.187,95054059303,NA,NA,NA,NA,0
2003,100.03,0.729,137202646,0.15,34.203,20.097,44.806,1946.971,104738954264,NA,NA,NA,NA,0
2004,94.962,0.673,141057045,0.15,30.847,20.507,42.545,1961.007,135764731646,NA,NA,NA,NA,0
2005,101.666,0.701,145017256,0.172,39.793,20.631,39.958,2102.179,175670569969,NA,NA,NA,NA,0
2006,90.097,0.604,149077335,0.213,31.979,21.618,35.036,1838.13,238454997161,NA,NA,NA,NA,0
2007,82.17,0.536,153267254,0.3,27.26,22.233,30.565,1643.461,278260846800,NA,NA,NA,NA,0
2008,86.489,0.549,157595014,0.641,33.499,20.653,29.189,1969.013,339476276258,NA,NA,NA,NA,0
2009,77.031,0.475,162049466,0.641,27.253,18.053,27.981,1211.625,295008835381,NA,NA,NA,NA,0
2010,112.05,0.672,166642888,0.641,58.741,20.196,28.531,1445.278,366990417129,NA,NA,NA,NA,0
2011,126.115,0.736,171379602,0.678,69.442,28.003,23.31,2022.947,414466676831,NA,NA,NA,NA,0
2012,110.125,0.625,176200627,0.901,55.858,28.872,18.09,1987.339,463971018239,9622.37337256,5148.066452159,4474.306920401,46.5,0
2013,117.401,0.648,181049440,1.129,62.251,28.63,17.561,2503.916,520117180314,9340.901722624,4742.674130787,4598.227591837,49.2,0
2014,123.971,0.667,185896917,1.129,66.604,32.676,15.827,2658.422,574183763412,8418.663477502001,4261.616348775,4157.047128727,49.4,0
2015,110.525,0.58,190671883,1.183,54.11,32.448,14.397,2458.865,493026682801,7657.922376308999,4200.9315473219995,3456.990828987,45.1,0
2016,116.396,0.596,195443698,1.238,60.54,34.434,13.297,2421.681,404649125252,7072.805863541001,3804.500898322,3268.304965219,46.2,0
2017,112.54,0.562,200254580,1.07,58.476,32.416,14.375,2284.907,375745731053,7646.269381485,3877.677945643,3768.591435842,49.3,0
2018,106.786,0.521,204938752,1.253,48.436,34.34,14.173,2383.928,421739251509,7538.87579164,4411.20113163,3127.67466001,41.5,0
2019,127.859,0.61,209485637,1.268,68.002,35.106,14.588,2446.243,668219992691,7759.662731716,4409.821387617,3349.8413440990003,43.2,0
2020,124.899,0.584,213996185,1.499,64.36,35.293,13.526,2256.092,598586817819,7194.656336438,4643.675664297,2550.980672141,35.5,0
2021,147.777,0.676,218529286,3.049,82.841,38.114,12.458,2388.635,609147716973,6626.85097,4141.841038,2483.36074,37.5,1
2022,131.441,0.589,223150906,3.199,69.383,37.936,9.999,2363.209,646950257578,5318.367627,3068.671265,2249.696362,42.3,1
2023,129.376,0.568,227882949,3.72,66.347,37.507,10.879,2194.584,487387801881,5786.463504,3322.20441,2464.259094,42.6,1
2024,135.824,0.584,232679482,3.049,68.935,40.734,12.182,2212.942,252261880141,6479.5599999999995,4082.82,2396.74,37,1
