state,flare_vol_mcm_avg,n_onshore_sites_avg,elec_access_pct,elec_survey_year
Abia,27.448589361,1.2307692307692308,87.1,2018
Adamawa,0,0,43.5,2018
Akwa Ibom,135.38580280853847,2.8461538461538463,72.6,2018
Anambra,10.9219290864,1,82.4,2018
Bauchi,0,0,31.1,2018
Bayelsa,759.8535389938462,24.153846153846153,41.6,2018
Benue,0,0,33.5,2018
Borno,0,0,16.6,2018
Cross River,0,0,43,2018
Delta,1548.1697951283845,40.07692307692308,60.4,2018
Ebonyi,0,0,28.6,2018
Edo,355.0596497593077,5.769230769230769,61.3,2018
Ekiti,0,0,67.2,2018
Enugu,0,0,59.7,2018
FCT,0,0,60.5,2018
Gombe,0,0,30.7,2018
Imo,222.19891088876923,6.153846153846154,53.8,2018
Jigawa,0,0,24.9,2018
Kaduna,0,0,61.6,2018
Kano,0,0,48.8,2018
Katsina,0,0,39.3,2018
Kebbi,0,0,34.4,2018
Kogi,0,0,55.2,2018
Kwara,0,0,76.1,2018
Lagos,5.1086693755,1,98.6,2018
Nasarawa,0,0,40,2018
Niger,0,0,52.8,2018
Ogun,0,0,90.3,2018
Ondo,35.576438526833336,1,43.9,2018
Osun,0,0,78.1,2018
Oyo,0,0,69,2018
Plateau,0,0,25.9,2018
Rivers,1091.651553576,28,76.2,2018
Sokoto,0,0,32.4,2018
Taraba,0,0,25.3,2018
Yobe,0,0,22.9,2018
Zamfara,0,0,31.7,2018
