lga_name,state_name,electricity
ABA NORTH,Abia,1
ABA SOUTH,Abia,0.9222
ABAJI,Federal Capital Territory,0.8272
ABAK,Akwa Ibom,0.5203
ABAKALIKI,Ebonyi,0
ABEOKUTA NORTH,Ogun,0.9667
ABEOKUTA SOUTH,Ogun,1
ABI,Cross River,0.5926
ABOH-MBAISE,Imo,0.2667
ABUA/ODUAL,Rivers,0.48
ABUJA,Federal Capital Territory,0.981
ADAVI,Kogi,0.9236
ADO,Benue,0.4333
ADO ODO/OTA,Ogun,0.8167
ADO-EKITI,Ekiti,0.7405
AFIJIO,Oyo,0.9667
AFIKPO NORTH,Ebonyi,0.75
AFIKPO SOUTH,Ebonyi,0.6667
AGATU,Benue,0
AGEGE,Lagos,1
AGUATA,Anambra,0.83
AGWARA,Niger,0.4483
AHIAZU-MBAISE,Imo,0.9333
AHOADA EAST,Rivers,0.6653
AHOADA WEST,Rivers,1
AIYEDADE,Osun,1
AJAOKUTA,Kogi,0.9615
AJEROMI/IFELODUN,Lagos,1
AJINGI,Kano,0
AKAMKPA,Cross River,0.2904
AKINYELE,Oyo,0.8
AKKO,Gombe,0.7847
AKOKO NORTH-EAST,Ondo,0.5973
AKOKO NORTH-WEST,Ondo,0.7322
AKOKO SOUTH-EAST,Ondo,0.6874
AKOKO SOUTH-WEST,Ondo,0.7167
AKOKO-EDO,Edo,0.9589
AKPABUYO,Cross River,0.8634
AKURE NORTH,Ondo,0.9444
AKWANGA,Nasarawa,0.447
ALBASU,Kano,0.6057
ALEIRO,Kebbi,0.9333
ALIMOSHO,Lagos,0.9644
ALKALERI,Bauchi,0.3833
AMUWO ODOFIN,Lagos,0.975
ANAMBRA EAST,Anambra,1
ANAMBRA WEST,Anambra,0.3222
ANAOCHA,Anambra,0.9667
ANDONI,Rivers,0.0357
ANINRI,Enugu,0.8167
ANIOCHA NORTH,Delta,0
ANIOCHA SOUTH,Delta,0.4833
ANKA,Zamfara,0
ANKPA,Kogi,0
APA,Benue,0.8
APAPA,Lagos,1
ARDO-KOLA,Taraba,0.3621
AREWA DANDI,Kebbi,0.3667
ARGUNGU,Kebbi,0.4833
AROCHUKWU,Abia,0.9524
ASA,Kwara,0.9655
ASARI-TORU,Rivers,0.9615
ASKIRA/UBA,Borno,0.0351
ATAKUMOSA EAST,Osun,0.6667
ATIBA,Oyo,0
ATISBO,Oyo,0
AUGIE,Kebbi,0.2778
AUYO,Jigawa,0
AWE,Nasarawa,0
AWGU,Enugu,0.5059
AWKA NORTH,Anambra,0.7931
AWKA SOUTH,Anambra,0.8751
AYAMELUM,Anambra,0.4667
BABURA,Jigawa,0.0833
BADAGRY,Lagos,1
BADE,Yobe,0
BAGUDO,Kebbi,0.0172
BAGWAI,Kano,0
BAKORI,Katsina,0
BAKURA,Zamfara,0.45
BALANGA,Gombe,0.0333
BALI,Taraba,0
BARUTEN,Kwara,0
BASSA,Kogi,0.1458
BASSA,Plateau,0.3222
BATAGARAWA,Katsina,0.6667
BATSARI,Katsina,0.5
BAUCHI,Bauchi,0.5602
BAURE,Katsina,0.5333
BAYO,Borno,0
BEBEJI,Kano,0
BENDE,Abia,0.8676
BIASE,Cross River,0.1724
BIDA,Niger,1
BILLIRI,Gombe,0.625
BINDAWA,Katsina,0
BINJI,Sokoto,0
BIRINIWA,Jigawa,0.1778
BIRNIN KEBBI,Kebbi,0.6207
BIRNIN KUDU,Jigawa,0.6333
BIU,Borno,0.5329
BODINGA,Sokoto,0.7069
BOKI,Cross River,0.2
BOKKOS,Plateau,0.2889
BOLUWADURO,Osun,0.9667
BOMADI,Delta,0
BONNY,Rivers,0.7094
BORGU,Niger,0
BORIPE,Osun,1
BORSARI,Yobe,0.1
BOSSO,Niger,0.6778
BRASS,Bayelsa,0.4291
BUJI,Jigawa,0
BUKKUYUM,Zamfara,0.1583
BUKURU,Benue,0.0889
BUNGUDU,Zamfara,0.4718
BUNZA,Kebbi,0.9
BURUTU,Delta,0.25
BWARI,Federal Capital Territory,0.8472
CALABAR,Cross River,0.9827
CHANCHAGA,Niger,1
CHIKUN,Kaduna,0.9667
DAMATURU,Yobe,0.4
DAMBAN,Bauchi,0.8333
DAMBATTA,Kano,0
DAMBOA,Borno,0
DANDI,Kebbi,0.45
DANGE-SHUNI,Sokoto,0.0345
DANJA,Katsina,0.8
DANKO WASAGU,Kebbi,0
DANMUSA,Katsina,0.463
DARAZO,Bauchi,0.5333
DASS,Bauchi,0
DAURA,Katsina,0
DAWAKIN TOFA,Kano,0.7167
DEGEMA,Rivers,0.9872
DEKINA,Kogi,0.3889
DEMSA,Adamawa,0.5864
DOGUWA,Kano,0.0333
DOMA,Nasarawa,0.4828
DONGA,Taraba,0.7667
DUKKU,Gombe,0
DUNUKOFIA,Anambra,0.9667
DUTSE,Jigawa,0.931
EASTERN OBOLO,Akwa Ibom,0.5333
EDATI,Niger,0.7333
EDU,Kwara,0.7556
EFON,Ekiti,0.15
EGBEDA,Oyo,0.6914
EGBEDORE,Osun,1
EGOR,Edo,1
EHIME-MBANO,Imo,0.4615
EJIGBO,Osun,0.9333
EKEREMOR,Bayelsa,0.58
EKET,Akwa Ibom,0.9333
EKITI,Kwara,0.8881
EKITI SOUTH-WEST,Ekiti,0.8667
EKITI WEST,Ekiti,0.0333
EKWUSIGO,Anambra,1
ELEME,Rivers,0.9
EMURE/ISE/ORUN,Ekiti,0
ENUGU EAST,Enugu,0.9314
ENUGU NORTH,Enugu,1
ENUGU SOUTH,Enugu,0.9667
EPE,Lagos,1
ESAN NORTH-EAST,Edo,0.4299
ESAN SOUTH-EAST,Edo,0
ESAN WEST,Edo,0.0476
ESE-ODO,Ondo,0.1667
ESSIEN UDIM,Akwa Ibom,0.8083
ETCHE,Rivers,0.8896
ETHIOPE EAST,Delta,0.9333
ETHIOPE WEST,Delta,0.963
ETI-OSA,Lagos,1
ETINAN,Akwa Ibom,0.8182
ETSAKO CENTRAL,Edo,0.9615
ETSAKO EAST,Edo,0.45
ETSAKO WEST,Edo,0.9885
ETUNG,Cross River,0
EWEKORO,Ogun,0.8333
EZEAGU,Enugu,0.4833
EZINIHITTE MBAISE,Imo,0.4833
EZZA NORTH,Ebonyi,0
EZZA SOUTH,Ebonyi,0.1056
FAGGE,Kano,1
FAKAI,Kebbi,0.32
FASKARI,Katsina,0
FIKA,Yobe,0
FUFORE,Adamawa,0.3333
FUNAKAYE,Gombe,0.6667
FUNE,Yobe,0.0837
FUNTUA,Katsina,0.7525
GABASAWA,Kano,0.8
GADA,Sokoto,0.023
GAGARAWA,Jigawa,0
GAMAWA,Bauchi,0
GANJUWA,Bauchi,0
GANYE,Adamawa,0.9655
GARKI,Jigawa,0.1333
GARKO,Kano,0
GARUM MALLAM,Kano,0.7333
GASHAKA,Taraba,0
GASSOL,Taraba,0
GAYA,Kano,0.0167
GBAKO,Niger,0
GBOKO,Benue,0.3333
GBOYIN,Ekiti,0.2333
GEZAWA,Kano,0.95
GIADE,Bauchi,0
GIRIE,Adamawa,0.3929
GIWA,Kaduna,0.4333
GOKANA,Rivers,0.9259
GUBIO,Borno,0
GUMA,Benue,0.6667
GUMMI,Zamfara,0
GURARA,Niger,0.8
GURI,Jigawa,0
GUSAU,Zamfara,0.9144
GUYUK,Adamawa,0.3333
GWADABAWA,Sokoto,0.4048
GWAGWALADA,Federal Capital Territory,0.7867
GWALE,Kano,0.9821
GWARAM,Jigawa,0
GWER EAST,Benue,0
GWER WEST,Benue,0.9
GWIWA,Jigawa,0.5463
HADEJIA,Jigawa,0.9643
HAWUL,Borno,0.1481
HONG,Adamawa,0.4744
IBADAN NORTH,Oyo,0.9333
IBADAN NORTH-EAST,Oyo,0.8411
IBADAN NORTH-WEST,Oyo,0.9333
IBADAN SOUTH-EAST,Oyo,0.9333
IBADAN SOUTH-WEST,Oyo,0.9933
IBAJI,Kogi,0.1267
IBARAPA CENTRAL,Oyo,0.45
IBEJU-LEKKI,Lagos,0.8333
IBESIKPO ASUTAN,Akwa Ibom,0.6611
