year,gdp_new
1986,"54,805,852,581"
1987,"52,676,041,931"
1988,"49,648,470,440"
1989,"44,003,061,108"
1990,"54,035,795,388"
1991,"59,526,833,412"
1992,"52,058,181,854"
1993,"56,721,051,402"
1994,"80,399,613,064"
1995,"140,919,776,986"
1996,"185,730,236,700"
1997,"200,850,397,618"
1998,"218,416,200,673"
1999,"59,145,077,039"
2000,"69,171,451,627"
2001,"73,557,840,064"
2002,"95,054,059,303"
2003,"104,738,954,264"
2004,"135,764,731,646"
2005,"175,670,569,969"
2006,"238,454,997,161"
2007,"278,260,846,800"
2008,"339,476,276,258"
2009,"295,008,835,381"
2010,"366,990,417,129"
2011,"414,466,676,831"
2012,"463,971,018,239"
2013,"520,117,180,314"
2014,"574,183,763,412"
2015,"493,026,682,801"
2016,"404,649,125,252"
2017,"375,745,731,053"
2018,"421,739,251,509"
2019,"668,219,992,691"
2020,"598,586,817,819"
2021,"609,147,716,973"
2022,"646,950,257,578"
2023,"487,387,801,881"
2024,"252,261,880,141"
