country,iso_code,year,co2,co2_per_capita,gdp,population,coal_co2,oil_co2,gas_co2,flaring_co2,cumulative_co2,energy_per_capita,share_global_co2
India,IND,1850,NA,NA,223302600000,235732435,NA,NA,NA,NA,NA,NA,NA
India,IND,1851,NA,NA,224090504000,236535920,NA,NA,NA,NA,NA,NA,NA
India,IND,1852,NA,NA,NA,237318415,NA,NA,NA,NA,NA,NA,NA
India,IND,1853,NA,NA,NA,238079774,NA,NA,NA,NA,NA,NA,NA
India,IND,1854,NA,NA,NA,238843552,NA,NA,NA,NA,NA,NA,NA
India,IND,1855,NA,NA,NA,239609756,NA,NA,NA,NA,NA,NA,NA
India,IND,1856,NA,NA,NA,240378394,NA,NA,NA,NA,NA,NA,NA
India,IND,1857,NA,NA,NA,241149472,NA,NA,NA,NA,NA,NA,NA
India,IND,1858,0.394,0.002,NA,241923000,0.394,0,0,NA,0.394,NA,0.138
India,IND,1859,0.636,0.003,NA,242698983,0.636,0,0,NA,1.031,NA,0.21
India,IND,1860,0.643,0.003,NA,243477427,0.643,0,0,NA,1.674,NA,0.194
India,IND,1861,0.497,0.002,219618560000,244258342,0.497,0,0,NA,2.171,NA,0.142
India,IND,1862,0.55,0.002,NA,245041734,0.55,0,0,NA,2.722,NA,0.155
India,IND,1863,0.61,0.002,NA,245827611,0.61,0,0,NA,3.332,NA,0.161
India,IND,1864,0.577,0.002,NA,246615984,0.577,0,0,NA,3.908,NA,0.141
India,IND,1865,0.567,0.002,NA,247406860,0.567,0,0,NA,4.475,NA,0.13
India,IND,1866,0.64,0.003,NA,248200247,0.64,0,0,NA,5.115,NA,0.142
India,IND,1867,NA,NA,NA,248996154,NA,NA,NA,NA,NA,NA,NA
India,IND,1868,NA,NA,NA,249794587,NA,NA,NA,NA,NA,NA,NA
India,IND,1869,NA,NA,NA,250501067,NA,NA,NA,NA,NA,NA,NA
India,IND,1870,NA,NA,215050000000,251115205,NA,NA,NA,NA,NA,NA,NA
India,IND,1871,NA,NA,NA,251636609,NA,NA,NA,NA,NA,NA,NA
India,IND,1872,NA,NA,NA,252064885,NA,NA,NA,NA,NA,NA,NA
India,IND,1873,NA,NA,NA,252399639,NA,NA,NA,NA,NA,NA,NA
India,IND,1874,NA,NA,NA,252734813,NA,NA,NA,NA,NA,NA,NA
India,IND,1875,NA,NA,NA,253070405,NA,NA,NA,NA,NA,NA,NA
India,IND,1876,NA,NA,NA,253406417,NA,NA,NA,NA,NA,NA,NA
India,IND,1877,NA,NA,NA,253742849,NA,NA,NA,NA,NA,NA,NA
India,IND,1878,1.767,0.007,NA,254079702,1.767,0,0,NA,6.882,NA,0.249
India,IND,1879,1.684,0.007,NA,254760858,1.611,0.073,0,NA,8.566,NA,0.222
India,IND,1880,1.887,0.007,NA,255789440,1.777,0.11,0,NA,10.453,NA,0.22
India,IND,1881,1.839,0.007,NA,257168597,1.74,0.099,0,NA,12.292,NA,0.207
India,IND,1882,2.196,0.008,NA,258901501,1.969,0.227,0,NA,14.489,NA,0.234
India,IND,1883,2.441,0.009,NA,260991354,2.291,0.15,0,NA,16.929,NA,0.245
India,IND,1884,2.73,0.01,233500588000,263098048,2.433,0.297,0,NA,19.659,NA,0.27
India,IND,1885,2.459,0.009,242433816000,265221721,2.254,0.205,0,NA,22.119,NA,0.242
India,IND,1886,2.772,0.01,236355820000,267362508,2.417,0.355,0,NA,24.891,NA,0.268
India,IND,1887,3.066,0.011,248702400000,269520547,2.722,0.344,0,NA,27.957,NA,0.283
India,IND,1888,3.41,0.013,252440820000,271695977,2.974,0.436,0,NA,31.366,NA,0.284
India,IND,1889,4.022,0.015,247072518000,273520781,3.388,0.634,0,NA,35.388,NA,0.335
India,IND,1890,4.432,0.016,260331806000,274991729,3.776,0.656,0,NA,39.82,NA,0.339
India,IND,1891,4.772,0.017,236132730000,276105563,4.054,0.718,0,NA,44.592,NA,0.348
India,IND,1892,5.247,0.019,255340540000,276859000,4.416,0.831,0,NA,49.839,NA,0.38
India,IND,1893,5.543,0.02,261684549000,277248729,4.459,1.084,0,NA,55.382,NA,0.407
India,IND,1894,5.617,0.02,265797360000,277638978,4.909,0.707,0,NA,60.999,NA,0.398
India,IND,1895,7.035,0.025,259487840000,278029747,6.162,0.872,0,NA,68.034,NA,0.47
India,IND,1896,7.608,0.027,240159000000,278421038,6.703,0.905,0,NA,75.641,NA,0.492
India,IND,1897,8.253,0.03,284161116000,278812851,7.081,1.172,0,NA,83.895,NA,0.51
India,IND,1898,9.125,0.033,284652072000,279205186,8.023,1.102,0,NA,93.02,NA,0.535
India,IND,1899,10.054,0.036,262708325000,279838410,8.871,1.183,0,NA,103.074,NA,0.539
India,IND,1900,11.929,0.042,271697500000,280714154,10.654,1.275,0,NA,115.003,NA,0.608
India,IND,1901,13.179,0.047,277327800000,281834058,11.553,1.627,0,NA,128.183,NA,0.651
India,IND,1902,14.515,0.051,300672000000,283199773,12.925,1.59,0,NA,142.698,NA,0.699
India,IND,1903,14.802,0.052,304764400000,284812956,12.952,1.85,0,NA,157.5,NA,0.654
India,IND,1904,16.561,0.058,306075000000,286435299,14.307,2.253,0,NA,174.061,NA,0.723
India,IND,1905,16.93,0.059,300632500000,288066854,14.659,2.272,0,NA,190.991,NA,0.694
India,IND,1906,19.549,0.067,308969700000,289707671,17.036,2.514,0,NA,210.54,NA,0.767
India,IND,1907,21.772,0.075,290665100000,291357804,19.412,2.36,0,NA,232.312,NA,0.749
India,IND,1908,24.908,0.085,294816900000,293017306,22.237,2.671,0,NA,257.22,NA,0.893
India,IND,1909,24.142,0.082,335358000000,294397607,20.669,3.473,0,NA,281.363,NA,0.83
India,IND,1910,23.487,0.079,335633100000,295496971,20.977,2.51,0,NA,304.85,NA,0.77
India,IND,1911,24.782,0.084,333713100000,296313651,22.144,2.638,0,NA,329.632,NA,0.8
India,IND,1912,28.521,0.096,333133200000,296845891,25.608,2.913,0,NA,358.153,NA,0.877
India,IND,1913,31.466,0.106,325870100000,297091925,28.224,3.243,0,NA,389.619,NA,0.893
India,IND,1914,31.698,0.107,343520000000,297338132,28.671,3.027,0,NA,421.317,NA,0.991
India,IND,1915,33.141,0.111,334924200000,297584511,29.785,3.356,0,NA,454.458,NA,1.053
India,IND,1916,33.517,0.113,344694000000,297831063,30.044,3.473,0,NA,487.975,NA,0.986
India,IND,1917,35.019,0.117,338632800000,298077789,31.714,3.305,0,NA,522.994,NA,0.985
India,IND,1918,39.359,0.132,295336800000,298421342,36.087,3.272,0,NA,562.353,NA,1.123
India,IND,1919,42.974,0.144,335830000000,299273541,39.402,3.572,0,NA,605.327,NA,1.413
India,IND,1920,34.867,0.116,309267200000,300639878,31.277,3.591,0,NA,640.194,NA,0.983
India,IND,1921,37.505,0.124,332498600000,302525896,33.614,3.891,0,NA,677.699,NA,1.204
India,IND,1922,36.903,0.121,346716800000,304937193,33.104,3.799,0,NA,714.602,NA,1.13
India,IND,1923,37.971,0.123,335552000000,307879422,34.23,3.741,0,NA,752.573,NA,1.025
India,IND,1924,40.627,0.131,351853700000,310850039,36.879,3.749,0,NA,793.201,NA,1.093
India,IND,1925,40.084,0.128,356048700000,313849318,36.399,3.686,0,NA,833.285,NA,1.072
India,IND,1926,39.942,0.126,367478400000,316877536,36.567,3.375,0,NA,873.227,NA,1.086
India,IND,1927,41.883,0.131,367200000000,319934973,38.454,3.43,0,NA,915.11,NA,1.044
India,IND,1928,40.072,0.124,370912500000,323021910,39.256,0.528,0,NA,955.182,NA,1.003
India,IND,1929,41.707,0.128,386396000000,326429031,40.781,0.634,0,NA,996.89,NA,0.973
India,IND,1930,42.399,0.128,389214800000,330163509,41.45,0.656,0,NA,1039.288,NA,1.071
India,IND,1931,38.85,0.116,386353000000,334232641,37.814,0.736,0,NA,1078.139,NA,1.098
India,IND,1932,36.129,0.107,390754000000,338643856,35.092,0.733,0,NA,1114.268,NA,1.132
India,IND,1933,35.467,0.103,391381200000,343404711,34.459,0.689,0,NA,1149.734,NA,1.055
India,IND,1934,39.61,0.114,395071600000,348232496,38.411,0.81,0,NA,1189.345,NA,1.083
India,IND,1935,41.393,0.117,390890400000,353128154,40.081,0.857,0,NA,1230.737,NA,1.079
India,IND,1936,40.684,0.114,406292700000,358092638,39.375,0.81,0,NA,1271.421,NA,0.967
India,IND,1937,45.067,0.124,399830200000,363126915,43.598,0.887,0,NA,1316.488,NA,1.002
India,IND,1938,50.379,0.137,400546500000,368231967,49.357,1.022,0,NA,1366.867,NA,1.191
India,IND,1939,49.311,0.133,409623600000,371781679,48.359,0.953,0,NA,1416.178,NA,1.103
India,IND,1940,52.309,0.14,422772400000,373766276,51.176,1.132,0,NA,1468.487,NA,1.071
India,IND,1941,53.58,0.143,431261700000,374175756,51.309,1.187,0,NA,1522.067,NA,1.072
India,IND,1942,53.529,0.144,428796600000,372999886,51.253,1.143,0,NA,1575.595,NA,1.074
India,IND,1943,46.644,0.126,446201700000,370228201,44.427,1.121,0,NA,1622.239,NA,0.919
India,IND,1944,47.695,0.13,441698400000,367477113,45.498,1.14,0,NA,1669.934,NA,0.924
India,IND,1945,52.873,0.145,434203200000,364746467,50.792,0.971,0,NA,1722.808,NA,1.233
India,IND,1946,52.224,0.144,411463200000,362036112,50.321,0.898,0,NA,1775.032,NA,1.133
India,IND,1947,53.179,0.148,340810000000,359345897,51.667,0.762,0,NA,1828.211,NA,1.03
India,IND,1948,53.203,0.149,344050000000,356675672,51.627,0.769,0,NA,1881.414,NA,0.977
India,IND,1949,56.187,0.158,353225000000,355893489,54.322,0.777,0,NA,1937.601,NA,1.08
India,IND,1950,60.943,0.176,354333000000,346278818,52.4,7.189,NA,NA,1998.544,NA,1.028
India,IND,1951,63.806,0.18,362445000000,353870058,54.296,7.852,NA,NA,2062.35,NA,1
India,IND,1952,67.249,0.186,373116000000,361874906,57.853,7.562,NA,NA,2129.599,NA,1.04
India,IND,1953,68.608,0.185,396813000000,370104570,58.97,7.68,NA,NA,2198.207,NA,1.032
India,IND,1954,72.307,0.191,413406000000,378687141,60.485,9.541,NA,NA,2270.513,NA,1.065
India,IND,1955,78.694,0.203,423654000000,387700892,63.618,12.751,NA,NA,2349.207,NA,1.057
India,IND,1956,81.619,0.206,447917000000,396988905,65.119,13.945,NA,NA,2430.826,NA,1.03
India,IND,1957,91.618,0.226,443356000000,406253895,72.821,15.894,NA,NA,2522.444,NA,1.119
India,IND,1958,95.801,0.23,476938000000,415777436,75.804,16.843,NA,NA,2618.245,NA,1.138
India,IND,1959,101.436,0.238,486918000000,425780669,79.513,18.386,NA,NA,2719.681,NA,1.146
India,IND,1960,111.32,0.255,520800000000,435990342,87.873,19.445,NA,NA,2831.001,NA,1.186
India,IND,1961,120.399,0.27,536352000000,446564731,94.88,21.31,0.004,NA,2951.4,NA,1.279
India,IND,1962,132.58,0.29,548432000000,457283091,103.258,24.886,0.011,0.044,3083.98,NA,1.36
India,IND,1963,142.439,0.304,576288000000,468138576,110.415,27.106,0.011,0.136,3226.419,NA,1.387
India,IND,1964,139.483,0.291,620466000000,479229599,105.92,28.121,0.022,0.476,3365.902,NA,1.289
India,IND,1965,153.697,0.314,596065000000,490140142,116.452,30.814,0.282,0.751,3519.599,1263.825,1.359
India,IND,1966,159.371,0.318,601425000000,500740250,116.982,35.676,0.311,0.832,3678.97,1274.94,1.343
India,IND,1967,159.557,0.312,650716000000,511606377,119.096,32.698,0.487,1.455,3838.528,1286.992,1.304
India,IND,1968,174.071,0.333,668220000000,522716893,123.826,42.25,0.751,1.37,4012.598,1346.781,1.349
India,IND,1969,177.411,0.332,712563000000,533880545,123.367,45.349,0.997,1.26,4190.009,1461.818,1.289
India,IND,1970,181.724,0.333,748744000000,545864271,123.551,49.333,0.923,1.422,4371.733,1399.141,1.22
India,IND,1971,191.965,0.344,755656000000,558096385,126.968,55.443,1.085,1.418,4563.698,1423.385,1.238
India,IND,1972,203.037,0.356,753543000000,570482138,134.378,58.878,1.205,1.213,4766.735,1465.179,1.251
India,IND,1973,209.096,0.358,788800000000,583465599,137.81,61.749,1.169,1.447,4975.831,1462.509,1.224
India,IND,1974,215.854,0.362,796992000000,597041391,145.64,60.628,1.359,1.726,5191.685,1514.112,1.27
India,IND,1975,234.21,0.383,868010000000,611309536,161.339,61.838,1.733,2.012,5425.895,1590.048,1.379
India,IND,1976,244.75,0.391,878540000000,625861887,168.921,63.438,2.294,1.817,5670.645,1628.88,1.37
India,IND,1977,258.962,0.404,947196000000,640801106,177.511,68.556,2.48,2.092,5929.606,1682.769,1.411
India,IND,1978,263.15,0.401,997920000000,655728226,174.689,75.317,2.741,1.982,6192.757,1709.508,1.383
India,IND,1979,276.285,0.412,947528000000,671155746,180.623,82.664,3.03,2.217,6469.042,1762.57,1.416
India,IND,1980,291.714,0.424,1015105000000,687354029,197.34,83.176,2.488,1.165,6760.756,1772.884,1.503
